Ț,S_latitude,S_Longtitude,T_Latitude,T_Longtitude
Y,36.33938265,127.4195425,36.34065578,127.4211184
R,36.33997068,127.4344953,36.33961837,127.4337909
G,36.33961837,127.4337909,36.33997068,127.4344953
G,36.34006984,127.4346935,36.33997068,127.4344953
G,36.33997068,127.4344953,36.34006984,127.4346935
Y,36.34086878,127.4419885,36.34000931,127.4428175
G,36.34000931,127.4428175,36.34086878,127.4419885
R,36.34000931,127.4428175,36.34199024,127.4482914
Y,36.34199024,127.4482914,36.34000931,127.4428175
R,36.34006984,127.4346935,36.34077153,127.435934
Y,36.34077153,127.435934,36.34006984,127.4346935
R,36.34006984,127.4346935,36.34154837,127.4319797
G,36.34154837,127.4319797,36.34006984,127.4346935
R,36.34061368,127.4261975,36.34252853,127.423476
R,36.34252853,127.423476,36.34061368,127.4261975
Y,36.34065578,127.4211184,36.34128709,127.4218483
Y,36.34128709,127.4218483,36.34065578,127.4211184
G,36.34065578,127.4211184,36.34245465,127.418969
R,36.34245465,127.418969,36.34065578,127.4211184
R,36.34077153,127.435934,36.3431119,127.440907
R,36.3431119,127.440907,36.34077153,127.435934
Y,36.34086878,127.4419885,36.34371099,127.442189
Y,36.34371099,127.442189,36.34086878,127.4419885
G,36.34128709,127.4218483,36.34252853,127.423476
G,36.34252853,127.423476,36.34128709,127.4218483
R,36.34128709,127.4218483,36.34438537,127.4282178
R,36.34438537,127.4282178,36.34128709,127.4218483
R,36.34199024,127.4482914,36.34344499,127.4472639
R,36.34344499,127.4472639,36.34199024,127.4482914
Y,36.34199024,127.4482914,36.34719356,127.4565429
R,36.34719356,127.4565429,36.34199024,127.4482914
G,36.34201049,127.4145138,36.34245465,127.418969
Y,36.34245465,127.418969,36.34201049,127.4145138
Y,36.34245465,127.418969,36.34252853,127.423476
G,36.34252853,127.423476,36.34245465,127.418969
Y,36.34252853,127.423476,36.34290918,127.424722
Y,36.34290918,127.424722,36.34252853,127.423476
Y,36.34290918,127.424722,36.34438537,127.4282178
Y,36.34438537,127.4282178,36.34290918,127.424722
Y,36.34609021,127.422899,36.34290918,127.424722
G,36.34290918,127.424722,36.34609021,127.422899
R,36.3431119,127.440907,36.34371099,127.442189
Y,36.34371099,127.442189,36.3431119,127.440907
R,36.35022665,127.4399563,36.3431119,127.440907
R,36.3431119,127.440907,36.35022665,127.4399563
R,36.34344499,127.4472639,36.34541896,127.4457896
R,36.34541896,127.4457896,36.34344499,127.4472639
R,36.34344499,127.4472639,36.34719356,127.4565429
G,36.34719356,127.4565429,36.34344499,127.4472639
Y,36.34541896,127.4457896,36.34371099,127.442189
R,36.34371099,127.442189,36.34541896,127.4457896
Y,36.35071112,127.4413855,36.34371099,127.442189
R,36.34371099,127.442189,36.35071112,127.4413855
G,36.34438537,127.4282178,36.34469331,127.4286098
Y,36.34469331,127.4286098,36.34438537,127.4282178
Y,36.34469331,127.4286098,36.34637353,127.4306725
R,36.34637353,127.4306725,36.34469331,127.4286098
R,36.34541896,127.4457896,36.34710296,127.4446483
R,36.34710296,127.4446483,36.34541896,127.4457896
R,36.34876787,127.4512786,36.34541896,127.4457896
R,36.34541896,127.4457896,36.34876787,127.4512786
R,36.34637353,127.4306725,36.34751465,127.4320732
R,36.34751465,127.4320732,36.34637353,127.4306725
R,36.3496064,127.4285968,36.34637353,127.4306725
Y,36.34637353,127.4306725,36.3496064,127.4285968
R,36.34852378,127.4349956,36.34638537,127.4350717
G,36.34638537,127.4350717,36.34852378,127.4349956
R,36.34710296,127.4446483,36.35108131,127.4420764
R,36.35108131,127.4420764,36.34710296,127.4446483
Y,36.35123162,127.452683,36.34710296,127.4446483
Y,36.34710296,127.4446483,36.35123162,127.452683
Y,36.34719356,127.4565429,36.34876787,127.4512786
G,36.34876787,127.4512786,36.34719356,127.4565429
R,36.34751465,127.4320732,36.34852378,127.4349956
R,36.34852378,127.4349956,36.34751465,127.4320732
R,36.34852378,127.4349956,36.34954093,127.4379626
R,36.34954093,127.4379626,36.34852378,127.4349956
R,36.34876787,127.4512786,36.35123162,127.452683
R,36.35123162,127.452683,36.34876787,127.4512786
G,36.34883624,127.4742403,36.35078962,127.4878528
G,36.35554921,127.4696124,36.34883624,127.4742403
G,36.37307128,127.4755005,36.34883624,127.4742403
G,36.34883624,127.4742403,36.37307128,127.4755005
Y,36.34954093,127.4379626,36.35022665,127.4399563
R,36.35022665,127.4399563,36.34954093,127.4379626
R,36.35413534,127.4384384,36.34954093,127.4379626
R,36.34954093,127.4379626,36.35413534,127.4384384
R,36.35144187,127.4281111,36.3496064,127.4285968
Y,36.3496064,127.4285968,36.35144187,127.4281111
Y,36.35022665,127.4399563,36.35071112,127.4413855
R,36.35071112,127.4413855,36.35022665,127.4399563
R,36.35071112,127.4413855,36.35108131,127.4420764
R,36.35108131,127.4420764,36.35071112,127.4413855
G,36.35129349,127.4924665,36.35078962,127.4878528
R,36.35108131,127.4420764,36.35160087,127.4414543
R,36.35160087,127.4414543,36.35108131,127.4420764
R,36.35108131,127.4420764,36.35573637,127.4447017
R,36.35573637,127.4447017,36.35108131,127.4420764
G,36.35123162,127.452683,36.35449846,127.4545793
R,36.35449846,127.4545793,36.35123162,127.452683
G,36.35129349,127.4924665,36.35294937,127.5166088
R,36.35545599,127.4275179,36.35144187,127.4281111
Y,36.35144187,127.4281111,36.35545599,127.4275179
R,36.35160087,127.4414543,36.35413534,127.4384384
R,36.35413534,127.4384384,36.35160087,127.4414543
Y,36.35573637,127.4447017,36.35160087,127.4414543
G,36.35160087,127.4414543,36.35573637,127.4447017
G,36.35294937,127.5166088,36.35424534,127.5203139
G,36.35424534,127.5203139,36.35294937,127.5166088
R,36.35404509,127.4490917,36.35449846,127.4545793
G,36.35449846,127.4545793,36.35404509,127.4490917
R,36.35536306,127.4457085,36.35404509,127.4490917
Y,36.35404509,127.4490917,36.35536306,127.4457085
Y,36.35413534,127.4384384,36.35691784,127.4351203
R,36.35691784,127.4351203,36.35413534,127.4384384
G,36.35573637,127.4447017,36.35536306,127.4457085
R,36.35536306,127.4457085,36.35573637,127.4447017
R,36.35545599,127.4275179,36.35561665,127.4291136
G,36.35554921,127.4696124,36.35617134,127.4672466
G,36.35617134,127.4672466,36.35554921,127.4696124
R,36.35691784,127.4351203,36.35890881,127.4325081
R,36.35890881,127.4325081,36.35691784,127.4351203
G,36.38959452,127.4804092,36.38652646,127.4807526
G,36.38652646,127.4807526,36.38959452,127.4804092
G,36.38959452,127.4804092,36.40940131,127.4736082
G,36.40940131,127.4736082,36.38959452,127.4804092
R,36.3311869,127.4326314,36.33321337,127.4376683
R,36.33321337,127.4376683,36.3311869,127.4326314
R,36.34290918,127.424722,36.34061368,127.4261975
G,36.34061368,127.4261975,36.34290918,127.424722
Y,36.33009237,127.4296622,36.32798996,127.4313683
G,36.32798996,127.4313683,36.33009237,127.4296622
R,36.30976878,127.4553147,36.31591837,127.4563778
Y,36.31591837,127.4563778,36.30976878,127.4553147
G,36.31064324,127.4621395,36.31258409,127.4599614
G,36.31258409,127.4599614,36.31064324,127.4621395
G,36.31258409,127.4599614,36.30976878,127.4553147
G,36.30976878,127.4553147,36.31258409,127.4599614
G,36.30690903,127.45684,36.31064324,127.4621395
G,36.31064324,127.4621395,36.30690903,127.45684
G,36.30843443,127.4504199,36.30976878,127.4553147
Y,36.30976878,127.4553147,36.30843443,127.4504199
G,36.30808099,127.4555834,36.30976878,127.4553147
R,36.30976878,127.4553147,36.30808099,127.4555834
R,36.30808099,127.4555834,36.30704593,127.4540275
G,36.30704593,127.4540275,36.30808099,127.4555834
R,36.30808099,127.4555834,36.30690903,127.45684
G,36.30690903,127.45684,36.30808099,127.4555834
R,36.30690903,127.45684,36.30459631,127.453528
Y,36.30459631,127.453528,36.30690903,127.45684
G,36.33547116,127.4846678,36.33097732,127.4813048
G,36.33097732,127.4813048,36.33547116,127.4846678
G,36.34541418,127.4927316,36.34709717,127.486062
G,36.34709717,127.486062,36.34541418,127.4927316
G,36.4174715,127.4790825,36.40940131,127.4736082
G,36.40940131,127.4736082,36.4174715,127.4790825
G,36.37548855,127.475252,36.38652646,127.4807526
G,36.38652646,127.4807526,36.37548855,127.475252
G,36.37548855,127.475252,36.37307128,127.4755005
G,36.37307128,127.4755005,36.37548855,127.475252
G,36.40506535,127.4917189,36.38652646,127.4807526
G,36.38652646,127.4807526,36.40506535,127.4917189
G,36.37307128,127.4755005,36.38389957,127.4583058
G,36.38389957,127.4583058,36.37307128,127.4755005
G,36.37631889,127.4734178,36.37548855,127.475252
G,36.37548855,127.475252,36.37631889,127.4734178
Y,36.34245465,127.418969,36.34458034,127.4167515
G,36.34458034,127.4167515,36.34245465,127.418969
G,36.33337699,127.4787201,36.33097732,127.4813048
G,36.33097732,127.4813048,36.33337699,127.4787201
Y,36.31585098,127.4386522,36.32724847,127.4315739
G,36.32724847,127.4315739,36.31585098,127.4386522
R,36.31275246,127.4413756,36.32724847,127.4315739
G,36.32724847,127.4315739,36.31275246,127.4413756
Y,36.32724847,127.4315739,36.33181021,127.4271448
G,36.33181021,127.4271448,36.32724847,127.4315739
G,36.34391105,127.4138065,36.34201049,127.4145138
G,36.34201049,127.4145138,36.34391105,127.4138065
G,36.34458034,127.4167515,36.34391105,127.4138065
G,36.34391105,127.4138065,36.34458034,127.4167515
G,36.27248321,127.4725144,36.27366365,127.4732619
G,36.27366365,127.4732619,36.27248321,127.4725144
G,36.28172613,127.4432008,36.28730362,127.4586942
G,36.28730362,127.4586942,36.28172613,127.4432008
Y,36.31749576,127.4418366,36.31527896,127.4403817
R,36.31527896,127.4403817,36.31749576,127.4418366
G,36.31806262,127.4421704,36.31749576,127.4418366
R,36.31749576,127.4418366,36.31806262,127.4421704
R,36.31749576,127.4418366,36.31696201,127.4430661
G,36.31696201,127.4430661,36.31749576,127.4418366
Y,36.31696201,127.4430661,36.31643377,127.4443748
G,36.31643377,127.4443748,36.31696201,127.4430661
G,36.31643377,127.4443748,36.31529901,127.4449686
Y,36.31529901,127.4449686,36.31643377,127.4443748
R,36.31529901,127.4449686,36.31180568,127.4454889
R,36.31180568,127.4454889,36.31529901,127.4449686
R,36.33642706,127.4472695,36.33276546,127.455143
R,36.33276546,127.455143,36.33642706,127.4472695
R,36.30459631,127.453528,36.30399347,127.452864
Y,36.30399347,127.452864,36.30459631,127.453528
R,36.33276546,127.455143,36.33182546,127.4556879
R,36.33182546,127.4556879,36.33276546,127.455143
R,36.3342439,127.4558946,36.33276546,127.455143
G,36.33276546,127.455143,36.3342439,127.4558946
R,36.33538754,127.4564593,36.3342439,127.4558946
Y,36.3342439,127.4558946,36.33538754,127.4564593
Y,36.30333185,127.4569907,36.30242752,127.455691
R,36.3342439,127.4558946,36.33182546,127.4556879
Y,36.30242752,127.455691,36.30333185,127.4569907
R,36.33182546,127.4556879,36.3342439,127.4558946
G,36.30383153,127.4577284,36.30333185,127.4569907
G,36.30333185,127.4569907,36.30383153,127.4577284
Y,36.30690903,127.45684,36.30444533,127.4586339
Y,36.34305604,127.4594801,36.33538754,127.4564593
R,36.30444533,127.4586339,36.30690903,127.45684
G,36.33538754,127.4564593,36.34305604,127.4594801
Y,36.30444533,127.4586339,36.30383153,127.4577284
Y,36.30383153,127.4577284,36.30444533,127.4586339
Y,36.30022944,127.4595512,36.29947078,127.4580821
Y,36.29947078,127.4580821,36.30022944,127.4595512
G,36.30444533,127.4586339,36.30201046,127.4597404
Y,36.30201046,127.4597404,36.30444533,127.4586339
G,36.34305604,127.4594801,36.34195871,127.4597424
G,36.34307725,127.4597445,36.34195871,127.4597424
G,36.34468339,127.4599908,36.34305604,127.4594801
G,36.34306318,127.4599405,36.34305604,127.4594801
G,36.34305604,127.4594801,36.34306318,127.4599405
G,36.35071088,127.4596762,36.34973489,127.4600597
G,36.34468339,127.4599908,36.34307725,127.4597445
G,36.34307725,127.4597445,36.34468339,127.4599908
Y,36.30201046,127.4597404,36.30022944,127.4595512
G,36.34194979,127.4600844,36.34307725,127.4597445
G,36.34306318,127.4599405,36.34468339,127.4599908
G,36.34194979,127.4600844,36.34306318,127.4599405
G,36.30022944,127.4595512,36.30201046,127.4597404
G,36.34973489,127.4600597,36.3504101,127.4601568
G,36.34973489,127.4600597,36.34468339,127.4599908
